Date,Open,High,Low,Close,Adj Close,Volume
2016-08-01,18434.500000,18722.609375,18247.789063,18400.880859,18400.880859,1695750000
2016-09-01,18396.570313,18551.539063,17992.210938,18308.150391,18308.150391,2101120000
2016-10-01,18279.599609,18399.960938,17959.949219,18142.419922,18142.419922,1793690000
2016-11-01,18158.240234,19225.289063,17883.560547,19123.580078,19123.580078,2107770000
2016-12-01,19149.199219,19987.630859,19138.789063,19762.599609,19762.599609,5952470000
2017-01-01,19872.859375,20125.580078,19677.939453,19864.089844,19864.089844,6482900000
2017-02-01,19923.810547,20851.330078,19831.089844,20812.240234,20812.240234,6185580000
2017-03-01,20957.289063,21169.109375,20412.800781,20663.220703,20663.220703,6941970000
2017-04-01,20665.169922,21070.900391,20379.550781,20940.509766,20940.509766,5392630000
2017-05-01,20962.730469,21112.320313,20553.449219,21008.650391,21008.650391,6613570000
2017-06-01,21030.550781,21535.029297,20994.220703,21349.630859,21349.630859,7214590000
2017-07-01,21392.300781,21841.179688,21279.300781,21830.310547,21830.310547,5262110000
2017-07-28,21787.509766,21841.179688,21756.119141,21830.310547,21830.310547,285634661
